employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
INPHENIX,"InPhenix, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Livermore,107182.0,107182.0,107182.0
INTELLECTT,"INTELLECTT, INC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,NJ,PRINCETON,104000.0,104000.0,104000.0
ISO NEW ENGLAND,"ISO New England, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,MA,Holyoke,133620.0,133620.0,133620.0
JACOBS ENGINEERING GROUP,"Jacobs Engineering Group, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,San Francisco,121818.0,121818.0,121818.0
JP AUTOMATION,"JP Automation, Inc",1,1,FY2026Q1,no,17-2071,Electrical Engineers,IN,Noblesville,80371.0,80371.0,80371.0
K A ENGINEERING CONSULTING P C,"K&A Engineering Consulting, P.C.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,IL,Oak Brook,82000.0,82000.0,82000.0
KARTECH SOLUTIONS,"Kartech Solutions, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,TX,Austin,85000.0,85000.0,85000.0
KC SYNERGY SOLUTIONS,"KC Synergy Solutions, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,CA,Irvine,86000.0,86000.0,86000.0
KGPCO SERVICES LLC DBA CIRCET USA,"KGPCo. Services, LLC dba Circet USA",1,1,FY2026Q1,no,17-2071,Electrical Engineers,MI,Southfield,80205.0,80205.0,80205.0
KINDEN CORPORATION,Kinden Corporation,1,1,FY2025Q4,no,17-2071,Electrical Engineers,GU,Tamuning,49899.0,49899.0,49899.0
KINGDOM AG CONCEPTS,"Kingdom Ag Concepts, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,IN,Bremen,57762.0,57762.0,57762.0
LAM RESEARCH CORPORATION,Lam Research Corporation,1,1,FY2026Q1,no,17-2071,Electrical Engineers,OR,Hillsboro,85592.0,85592.0,85592.0
LATECH,"LaTech, LLC",1,1,FY2025Q4,no,17-2071,Electrical Engineers,LA,Baton Rouge,78624.0,78624.0,78624.0
