employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
CONTEC AMERICAS,CONTEC Americas Inc.,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,FL,Melbourne,82000,82000,82000
CRISIS24,"Crisis24, Inc.",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,MI,Auburn Hills,87567,87567,87567
CRM WEB SOLUTIONS,"CRM Web Solutions, LLC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Addison,75000,75000,75000
CYIENT,"Cyient, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MA,Cambridge,105000,105000,105000
DAZZLON COMPUTER SERVICES,Dazzlon Computer Services Inc,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Celina,84000,84000,84000
DECCAN INTERNATIONAL,Deccan International,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,San Jose,100000,100000,100000
DELTA COMPUTER CONSULTING,Delta Computer Consulting,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Milpitas,124800,124800,124800
DENKEN SOLUTIONS,"DENKEN SOLUTIONS, INC.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,CUPERTINO,94162,94162,94162
DESMATA,DESMATA INC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MD,Waldorf,85000,85000,85000
DOTCOM TEAM,DOTCOM TEAM LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,VA,FREDERICKSBURG,95000,95000,95000
DOUBLE GOOD MANAGEMENT,"Double Good Management, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,IL,Burr Ridge,108784,108784,108784
DPA INFOTECH,"DPA Infotech, INC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Mckinney,72550,72550,72550
DRACS CONSULTING GROUP,DRACS CONSULTING GROUP INC,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,NJ,Middletown Township,78624,78624,78624
DUPLOCLOUD,"DUPLOCLOUD, INC.",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,GEORGETOWN,100000,100000,100000
