employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
DAYLIGHT BRIDGE WHOLESALE,Daylight Bridge Wholesale Inc,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,West Covina,75000,75000,75000
DEUTSCHE BANK SECURITIES,"Deutsche Bank Securities, Inc.",1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,125000,125000,125000
DIGITALBRIDGE GROUP ADVISORS,"DigitalBridge Group Advisors, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,FL,Boca Raton,124000,124000,124000
DIMENSIONAL FUND ADVISORS LP,DIMENSIONAL FUND ADVISORS LP,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,TX,Austin,94000,94000,94000
DOORDASH,"DoorDash, Inc.",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,San Francisco,90272,90272,90272
DSFEDERAL,DSFederal Inc.,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,MD,Germantown,76066,76066,76066
DUXFORD PRIOR,"Duxford Prior, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,San Francisco,100000,100000,100000
EDITION MOTORS,Edition Motors LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CA,El Monte,72218,72218,72218
EDUTECH LAB,EduTech Lab Inc,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,MA,Cambridge,80000,80000,80000
EGHA GROUP,EGHA Group Corp,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,90000,90000,90000
ELDRIDGE CAPITAL MANAGEMENT SERVICES,Eldridge Capital Management Services LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,90000,90000,90000
ELRAY RESOURCES,Elray Resources Inc,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,90000,90000,90000
EVERGROW FINANCIALS,Evergrow Financials LLC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,MO,St. Louis,59322,59322,59322
EXVOR CAPITAL II,Exvor Capital II LLC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
FALCONS BURGER,FALCONS BURGER LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,GA,ATLANTA,67829,67829,67829
FIRST CITIZENS BANK AND TRUST CO,First Citizens Bank and Trust Co.,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,Pasadena,71635,71635,71635
FIRSTWAVE CAPITAL MANAGEMENT,FirstWave Capital Management LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,FL,Miami,115000,115000,115000
FISCAL SPONSOR CORPORATION,Fiscal Sponsor Corporation,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York City,104000,104000,104000
FLORIDA HOSPITAL MEDICAL GROUP,"Florida Hospital Medical Group, Inc.",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,FL,Maitland,59987,59987,59987
FMR LLC D B A FIDELITY INVESTMENTS,FMR LLC d/b/a Fidelity Investments,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,MA,Boston,72176,72176,72176
FRUITIST HOLDINGS,FRUITIST HOLDINGS INC.,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,LOS ANGELES,90000,90000,90000
